"","A0CF","A1D2","C073","5440","5EBF3C","61B2","1F36","4D10","CE1D","1A0D","94D3","775E","5DED","4FCA","4F91","4D01","5971","0832","A093","A4F8","900E","9900"
"2013-06-28_19",1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"2013-06-30_5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"2013-07-01_28",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2013-07-02_28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2013-07-03_28",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"2013-07-04_20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"2013-07-05_7",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
"2013-07-06_6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"2013-07-07_26",1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"2013-07-07_6",0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
"2013-07-08_26",1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
"2013-07-08_1",0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"2013-07-09_26",1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"2013-07-09_1",0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"2013-07-10_16",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"2013-07-10_1",0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0
"2013-07-11_1",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0
"2013-07-12_1",1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
"2013-07-13_1",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
"2013-07-14_1",1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
"2013-07-14_233",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"2013-07-15_233",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"2013-07-15_23",0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2013-07-16_23",1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"2013-07-16_233",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"2013-07-17_23",1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2013-07-17_32",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"2013-07-18_32",1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2013-07-19_32",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
"2013-07-20_32",1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2013-07-21_32",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
"2013-07-22_32",1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0
"2013-07-23_24",1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"2013-07-24_24",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2013-07-25_24",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2013-07-25_19",0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"2013-07-26_18",1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"2013-07-26_19",0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
"2013-07-27_18",1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
"2013-07-27_21",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2013-07-28_18",1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2013-07-29_18",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2013-07-30_18",0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"2013-07-31_9",1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0
"2013-08-01_31",1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2013-08-02_31",1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
"2013-08-03_31",1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
"2013-08-04_31",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2013-08-05_31",1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0
"2013-08-06_19",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
"2013-08-07_19",1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0
"2013-08-08_19",1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0
"2013-08-09_5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"2013-08-10_2",1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0
"2013-08-11_2",1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0
"2013-08-12_17",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
"2013-08-12_6",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
"2013-08-13_17",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
"2013-08-14_235",1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
"2013-08-14_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2013-08-15_235",1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0
