"from","to","weight","pair_type"
"4999","96BF",0.617391304347826,"other"
"4999","8870",0.596638655462185,"other"
"4999","91BD",0.528571428571429,"other"
"4999","ED95",0.615384615384615,"other"
"4999","8EBE",0.5625,"other"
"4999","877B",0.553030303030303,"other"
"4999","D3B0",0.516129032258065,"other"
"4999","06E6",0.0961538461538462,"other"
"4999","0ACE",0.0545454545454545,"other"
"4999","0222",0.0961538461538462,"mother-daughter"
"4999","1153",0.0526315789473684,"other"
"B5F7","101F",0.532374100719424,"other"
"B5F7","B311",0.661417322834646,"other"
"B5F7","A41C",0.379032258064516,"other"
"B5F7","100F",0.75,"other"
"B5F7","AE33",0.561538461538462,"other"
"B5F7","909D",0.682170542635659,"other"
"B5F7","96BF",0.485714285714286,"other"
"B5F7","8870",0.514285714285714,"other"
"B5F7","91BD",0.710144927536232,"other"
"B5F7","ED95",0.586466165413534,"other"
"B5F7","8EBE",0.790322580645161,"other"
"B5F7","877B",0.71969696969697,"other"
"B5F7","D3B0",0.68,"other"
"B5F7","06E6",0.114754098360656,"other"
"B5F7","0ACE",0.140495867768595,"other"
"B5F7","0222",0.12396694214876,"other"
"B5F7","1153",0.183333333333333,"mother-daughter"
"101F","B311",0.613445378151261,"other"
"101F","A41C",0.357142857142857,"other"
"101F","100F",0.553030303030303,"other"
"101F","AE33",0.586206896551724,"other"
"101F","909D",0.596774193548387,"other"
"101F","96BF",0.73394495412844,"other"
"101F","8870",0.635593220338983,"other"
"101F","91BD",0.572463768115942,"other"
"101F","ED95",0.627118644067797,"other"
"101F","8EBE",0.549618320610687,"other"
"101F","877B",0.56390977443609,"other"
"101F","D3B0",0.552845528455285,"other"
"101F","06E6",0.114285714285714,"other"
"101F","0ACE",0.0917431192660551,"other"
"101F","0222",0.0934579439252336,"other"
"101F","1153",0.0884955752212389,"other"
"B311","A41C",0.388888888888889,"other"
"B311","100F",0.650406504065041,"other"
"B311","AE33",0.568965517241379,"other"
"B311","909D",0.675213675213675,"other"
"B311","96BF",0.545454545454545,"other"
"B311","8870",0.565573770491803,"other"
"B311","91BD",0.6796875,"other"
"B311","ED95",0.652173913043478,"other"
"B311","8EBE",0.595238095238095,"other"
"B311","877B",0.67479674796748,"other"
"B311","D3B0",0.615384615384615,"other"
"B311","06E6",0.138613861386139,"other"
"B311","0ACE",0.114285714285714,"other"
"B311","0222",0.105769230769231,"other"
"B311","1153",0.130841121495327,"other"
"A41C","100F",0.393162393162393,"other"
"A41C","AE33",0.448979591836735,"other"
"A41C","909D",0.392857142857143,"other"
"A41C","96BF",0.441176470588235,"other"
"A41C","8870",0.438095238095238,"other"
"A41C","91BD",0.325757575757576,"other"
"A41C","ED95",0.415094339622642,"other"
"A41C","8EBE",0.330578512396694,"other"
"A41C","877B",0.328,"other"
"A41C","D3B0",0.354545454545455,"other"
"100F","AE33",0.652542372881356,"other"
"100F","909D",0.607692307692308,"other"
"100F","96BF",0.526717557251908,"other"
"100F","8870",0.606299212598425,"other"
"100F","91BD",0.640287769784173,"other"
"100F","ED95",0.663934426229508,"other"
"100F","8EBE",0.712,"other"
"100F","877B",0.684615384615385,"other"
"100F","D3B0",0.603174603174603,"other"
"100F","06E6",0.103448275862069,"other"
"100F","0ACE",0.092436974789916,"mother-daughter"
"100F","0222",0.12280701754386,"other"
"100F","1153",0.126050420168067,"other"
"AE33","909D",0.540983606557377,"other"
"AE33","96BF",0.657407407407407,"other"
"AE33","8870",0.663636363636364,"other"
"AE33","91BD",0.533333333333333,"other"
"AE33","ED95",0.75,"other"
"AE33","8EBE",0.544,"other"
"AE33","877B",0.622950819672131,"other"
"AE33","D3B0",0.533898305084746,"other"
"AE33","06E6",0.00943396226415094,"other"
"AE33","0ACE",0.00925925925925926,"other"
"AE33","0222",0.00943396226415094,"other"
"AE33","1153",0.00892857142857143,"other"
"909D","96BF",0.519685039370079,"other"
"909D","8870",0.551181102362205,"other"
"909D","91BD",0.7,"other"
"909D","ED95",0.619834710743802,"other"
"909D","8EBE",0.580152671755725,"other"
"909D","877B",0.618320610687023,"other"
"909D","D3B0",0.638655462184874,"other"
"909D","06E6",0.12037037037037,"other"
"909D","0ACE",0.118181818181818,"other"
"909D","0222",0.1,"other"
"909D","1153",0.133928571428571,"other"
"96BF","8870",0.740740740740741,"other"
"96BF","91BD",0.525179856115108,"other"
"96BF","ED95",0.654867256637168,"other"
"96BF","8EBE",0.466666666666667,"other"
"96BF","877B",0.526315789473684,"other"
"96BF","D3B0",0.51219512195122,"other"
"96BF","06E6",0.037037037037037,"other"
"96BF","0ACE",0.027027027027027,"other"
"96BF","0222",0.037037037037037,"other"
"96BF","1153",0.0172413793103448,"other"
"8870","91BD",0.576642335766423,"other"
"8870","ED95",0.736363636363636,"other"
"8870","8EBE",0.474452554744526,"other"
"8870","877B",0.522058823529412,"other"
"8870","D3B0",0.472868217054264,"other"
"8870","06E6",0.045045045045045,"mother-daughter"
"8870","0ACE",0.0350877192982456,"other"
"8870","0222",0.045045045045045,"other"
"8870","1153",0.0252100840336134,"other"
"91BD","ED95",0.641221374045801,"other"
"91BD","8EBE",0.63768115942029,"other"
"91BD","877B",0.661870503597122,"other"
"91BD","D3B0",0.609022556390977,"other"
"91BD","06E6",0.15702479338843,"other"
"91BD","0ACE",0.183333333333333,"other"
"91BD","0222",0.138211382113821,"other"
"91BD","1153",0.19672131147541,"other"
"ED95","8EBE",0.582677165354331,"other"
"ED95","877B",0.634920634920635,"other"
"ED95","D3B0",0.615384615384615,"other"
"ED95","06E6",0.055045871559633,"other"
"ED95","0ACE",0.0540540540540541,"other"
"ED95","0222",0.055045871559633,"other"
"ED95","1153",0.0431034482758621,"other"
"8EBE","877B",0.682170542635659,"other"
"8EBE","D3B0",0.587301587301587,"other"
"8EBE","06E6",0.105263157894737,"other"
"8EBE","0ACE",0.132743362831858,"other"
"8EBE","0222",0.125,"other"
"8EBE","1153",0.178571428571429,"other"
"877B","D3B0",0.626984126984127,"other"
"877B","06E6",0.110169491525424,"other"
"877B","0ACE",0.127118644067797,"other"
"877B","0222",0.110169491525424,"other"
"877B","1153",0.170940170940171,"other"
"D3B0","06E6",0.0961538461538462,"other"
"D3B0","0ACE",0.12621359223301,"other"
"D3B0","0222",0.0961538461538462,"other"
"D3B0","1153",0.132075471698113,"other"
"06E6","0ACE",0.5,"other"
"06E6","0222",0.6,"other"
"06E6","1153",0.483870967741935,"other"
"0ACE","0222",0.555555555555556,"other"
"0ACE","1153",0.655172413793103,"other"
"0222","1153",0.4375,"other"
