"from","to","weight","pairID","pair_type"
"91BD","06E6",0.633333333333333,"06E6-91BD","other"
"91BD","0ACE",0.758620689655172,"0ACE-91BD","other"
"91BD","0222",0.53125,"0222-91BD","other"
"91BD","1A0D",0.424242424242424,"1A0D-91BD","other"
"91BD","238E",0.133333333333333,"238E-91BD","other"
"91BD","110D",0.133333333333333,"110D-91BD","other"
"91BD","2562",0.0344827586206897,"2562-91BD","other"
"91BD","4999",0.272727272727273,"4999-91BD","other"
"91BD","B5F7",0.696969696969697,"91BD-B5F7","other"
"91BD","B311",0.548387096774194,"91BD-B311","other"
"91BD","48AB",0.137931034482759,"48AB-91BD","other"
"91BD","ED95",0.241379310344828,"91BD-ED95","other"
"91BD","D3B0",0.6,"91BD-D3B0","other"
"91BD","8EBE",0.606060606060606,"8EBE-91BD","other"
"91BD","100F",0.441176470588235,"100F-91BD","other"
"91BD","909D",0.5625,"909D-91BD","other"
"91BD","96BF",0.137931034482759,"91BD-96BF","other"
"91BD","877B",0.636363636363636,"877B-91BD","other"
"91BD","8870",0.172413793103448,"8870-91BD","other"
"91BD","A1CE",0.242424242424242,"91BD-A1CE","other"
"91BD","101F",0.375,"101F-91BD","other"
"91BD","1153",0.774193548387097,"1153-91BD","other"
"91BD","AE33",0.0344827586206897,"91BD-AE33","other"
"06E6","0ACE",0.5,"06E6-0ACE","other"
"06E6","0222",0.6,"0222-06E6","other"
"06E6","1A0D",0.461538461538462,"06E6-1A0D","other"
"06E6","238E",0.136363636363636,"06E6-238E","other"
"06E6","110D",0.25,"06E6-110D","other"
"06E6","2562",0.05,"06E6-2562","other"
"06E6","4999",0.434782608695652,"06E6-4999","other"
"06E6","B5F7",0.424242424242424,"06E6-B5F7","other"
"06E6","B311",0.56,"06E6-B311","other"
"06E6","48AB",0.2,"06E6-48AB","other"
"06E6","ED95",0.285714285714286,"06E6-ED95","other"
"06E6","D3B0",0.344827586206897,"06E6-D3B0","other"
"06E6","8EBE",0.375,"06E6-8EBE","other"
"06E6","100F",0.428571428571429,"06E6-100F","other"
"06E6","909D",0.464285714285714,"06E6-909D","other"
"06E6","96BF",0.2,"06E6-96BF","other"
"06E6","877B",0.40625,"06E6-877B","other"
"06E6","8870",0.25,"06E6-8870","mother-daughter"
"06E6","A1CE",0.333333333333333,"06E6-A1CE","other"
"06E6","101F",0.521739130434783,"06E6-101F","other"
"06E6","1153",0.483870967741935,"06E6-1153","other"
"06E6","AE33",0.05,"06E6-AE33","other"
"0ACE","0222",0.555555555555556,"0222-0ACE","other"
"0ACE","1A0D",0.333333333333333,"0ACE-1A0D","other"
"0ACE","238E",0.125,"0ACE-238E","other"
"0ACE","110D",0.125,"0ACE-110D","other"
"0ACE","4999",0.206896551724138,"0ACE-4999","other"
"0ACE","B5F7",0.53125,"0ACE-B5F7","other"
"0ACE","B311",0.413793103448276,"0ACE-B311","other"
"0ACE","48AB",0.130434782608696,"0ACE-48AB","other"
"0ACE","ED95",0.260869565217391,"0ACE-ED95","other"
"0ACE","D3B0",0.464285714285714,"0ACE-D3B0","other"
"0ACE","8EBE",0.483870967741935,"0ACE-8EBE","other"
"0ACE","100F",0.354838709677419,"0ACE-100F","mother-daughter"
"0ACE","909D",0.433333333333333,"0ACE-909D","other"
"0ACE","96BF",0.130434782608696,"0ACE-96BF","other"
"0ACE","877B",0.46875,"0ACE-877B","other"
"0ACE","8870",0.173913043478261,"0ACE-8870","other"
"0ACE","A1CE",0.214285714285714,"0ACE-A1CE","other"
"0ACE","101F",0.37037037037037,"0ACE-101F","other"
"0ACE","1153",0.655172413793103,"0ACE-1153","other"
"0ACE","AE33",0.0454545454545455,"0ACE-AE33","other"
"0222","1A0D",0.407407407407407,"0222-1A0D","other"
"0222","238E",0.0869565217391304,"0222-238E","other"
"0222","110D",0.25,"0222-110D","other"
"0222","2562",0.05,"0222-2562","other"
"0222","4999",0.434782608695652,"0222-4999","mother-daughter"
"0222","B5F7",0.46875,"0222-B5F7","other"
"0222","B311",0.392857142857143,"0222-B311","other"
"0222","48AB",0.2,"0222-48AB","other"
"0222","ED95",0.285714285714286,"0222-ED95","other"
"0222","D3B0",0.344827586206897,"0222-D3B0","other"
"0222","8EBE",0.466666666666667,"0222-8EBE","other"
"0222","100F",0.538461538461538,"0222-100F","other"
"0222","909D",0.366666666666667,"0222-909D","other"
"0222","96BF",0.2,"0222-96BF","other"
"0222","877B",0.40625,"0222-877B","other"
"0222","8870",0.25,"0222-8870","other"
"0222","A1CE",0.333333333333333,"0222-A1CE","other"
"0222","101F",0.4,"0222-101F","other"
"0222","1153",0.4375,"0222-1153","other"
"0222","AE33",0.05,"0222-AE33","other"
"1A0D","238E",0.210526315789474,"1A0D-238E","other"
"1A0D","110D",0.210526315789474,"110D-1A0D","other"
"1A0D","2562",0.0555555555555556,"1A0D-2562","other"
"1A0D","4999",0.347826086956522,"1A0D-4999","other"
"1A0D","B5F7",0.607142857142857,"1A0D-B5F7","other"
"1A0D","B311",0.541666666666667,"1A0D-B311","other"
"1A0D","48AB",0.157894736842105,"1A0D-48AB","other"
"1A0D","ED95",0.31578947368421,"1A0D-ED95","other"
"1A0D","D3B0",0.423076923076923,"1A0D-D3B0","other"
"1A0D","8EBE",0.555555555555556,"1A0D-8EBE","other"
"1A0D","100F",0.652173913043478,"100F-1A0D","other"
"1A0D","909D",0.5,"1A0D-909D","other"
"1A0D","96BF",0.157894736842105,"1A0D-96BF","other"
"1A0D","877B",0.653846153846154,"1A0D-877B","other"
"1A0D","8870",0.210526315789474,"1A0D-8870","other"
"1A0D","A1CE",0.363636363636364,"1A0D-A1CE","other"
"1A0D","101F",0.375,"101F-1A0D","other"
"1A0D","1153",0.466666666666667,"1153-1A0D","other"
"1A0D","AE33",0.0555555555555556,"1A0D-AE33","other"
"238E","110D",0.25,"110D-238E","other"
"238E","2562",0.2,"238E-2562","other"
"238E","4999",0.2,"238E-4999","other"
"238E","B5F7",0.185185185185185,"238E-B5F7","other"
"238E","B311",0.142857142857143,"238E-B311","other"
"238E","48AB",0.285714285714286,"238E-48AB","other"
"238E","ED95",0.2,"238E-ED95","other"
"238E","D3B0",0.142857142857143,"238E-D3B0","other"
"238E","8EBE",0.208333333333333,"238E-8EBE","other"
"238E","100F",0.25,"100F-238E","other"
"238E","909D",0.130434782608696,"238E-909D","other"
"238E","96BF",0.285714285714286,"238E-96BF","other"
"238E","877B",0.2,"238E-877B","other"
"238E","8870",0.25,"238E-8870","other"
"238E","A1CE",0.214285714285714,"238E-A1CE","other"
"238E","101F",0.111111111111111,"101F-238E","other"
"238E","1153",0.148148148148148,"1153-238E","other"
"110D","2562",0.2,"110D-2562","other"
"110D","4999",0.384615384615385,"110D-4999","other"
"110D","B5F7",0.142857142857143,"110D-B5F7","other"
"110D","B311",0.263157894736842,"110D-B311","other"
"110D","48AB",0.8,"110D-48AB","other"
