"from","to","weight","pair_type","from_role","to_role"
"0D1B","BF04",0.454545454545455,"other","mother","daughter"
"0D1B","5672",0.416666666666667,"other","mother","daughter"
"0D1B","4FE4",0.534883720930233,"mother-daughter","mother","daughter"
"0D1B","4C7B",0.456521739130435,"other","mother","daughter"
"0D1B","41C1",0.254901960784314,"other","mother","daughter"
"6D0D","BF04",0.414634146341463,"other","mother","daughter"
"6D0D","5672",0.347826086956522,"other","mother","daughter"
"6D0D","4FE4",0.395348837209302,"other","mother","daughter"
"6D0D","4C7B",0.326086956521739,"mother-daughter","mother","daughter"
"6D0D","41C1",0.234042553191489,"other","mother","daughter"
"07F9","BF04",0.512820512820513,"mother-daughter","mother","daughter"
"07F9","5672",0.340425531914894,"other","mother","daughter"
"07F9","4FE4",0.452380952380952,"other","mother","daughter"
"07F9","4C7B",0.441860465116279,"other","mother","daughter"
"07F9","41C1",0.340909090909091,"other","mother","daughter"
"B587","BF04",0.369565217391304,"other","mother","daughter"
"B587","5672",0.34,"mother-daughter","mother","daughter"
"B587","4FE4",0.477272727272727,"other","mother","daughter"
"B587","4C7B",0.434782608695652,"other","mother","daughter"
"B587","41C1",0.340425531914894,"other","mother","daughter"
"24E9","BF04",0.311111111111111,"other","mother","daughter"
"24E9","5672",0.340425531914894,"other","mother","daughter"
"24E9","4FE4",0.270833333333333,"other","mother","daughter"
"24E9","4C7B",0.319148936170213,"other","mother","daughter"
"24E9","41C1",0.475,"mother-daughter","mother","daughter"
