"from","to","weight","pair_type","from_role","to_role"
"39ED","A42D",0.230769230769231,"other","mother","daughter"
"39ED","B3E8",0.375,"other","mother","daughter"
"39ED","0145",0.178571428571429,"other","mother","daughter"
"39ED","0734",0.296296296296296,"other","mother","daughter"
"39ED","34C9",0.391304347826087,"other","mother","daughter"
"39ED","494F",0.222222222222222,"other","mother","daughter"
"39ED","8106",0.25,"other","mother","daughter"
"39ED","8666",0.45,"other","mother","daughter"
"39ED","8BE4",0.375,"other","mother","daughter"
"39ED","9A80",0.318181818181818,"other","mother","daughter"
"39ED","A16E",0.294117647058824,"mother-daughter","mother","daughter"
"39ED","A816",0.32,"other","mother","daughter"
"39ED","D849",0.263157894736842,"other","mother","daughter"
"AC35","A42D",0.285714285714286,"other","mother","daughter"
"AC35","B3E8",0.275862068965517,"other","mother","daughter"
"AC35","0145",0.275862068965517,"other","mother","daughter"
"AC35","0734",0.181818181818182,"other","mother","daughter"
"AC35","34C9",0.285714285714286,"other","mother","daughter"
"AC35","494F",0.275862068965517,"other","mother","daughter"
"AC35","8106",0.258064516129032,"other","mother","daughter"
"AC35","8666",0.269230769230769,"other","mother","daughter"
"AC35","8BE4",0.321428571428571,"other","mother","daughter"
"AC35","9A80",0.137931034482759,"other","mother","daughter"
"AC35","A16E",0.238095238095238,"other","mother","daughter"
"AC35","A816",0.608695652173913,"mother-daughter","mother","daughter"
"AC35","D849",0.166666666666667,"other","mother","daughter"
"BF04","A42D",0.444444444444444,"other","mother","daughter"
"BF04","B3E8",0.333333333333333,"other","mother","daughter"
"BF04","0145",0.333333333333333,"other","mother","daughter"
"BF04","0734",0.235294117647059,"other","mother","daughter"
"BF04","34C9",0.258064516129032,"other","mother","daughter"
"BF04","494F",0.290322580645161,"other","mother","daughter"
"BF04","8106",0.3125,"other","mother","daughter"
"BF04","8666",0.44,"mother-daughter","mother","daughter"
"BF04","8BE4",0.333333333333333,"other","mother","daughter"
"BF04","9A80",0.161290322580645,"other","mother","daughter"
"BF04","A16E",0.318181818181818,"other","mother","daughter"
"BF04","A816",0.333333333333333,"other","mother","daughter"
"BF04","D849",0.192307692307692,"other","mother","daughter"
"41C1","A42D",0.391304347826087,"other","mother","daughter"
