"from","to","weight","pair_type","from_role","to_role"
"1731","EC1A",0.151515151515152,"other","mother","daughter"
"1731","663E",0.172413793103448,"other","mother","daughter"
"1731","6B55",0.0869565217391304,"other","mother","daughter"
"1731","9A91",0.222222222222222,"other","mother","daughter"
"1731","125F",0.0714285714285714,"other","mother","daughter"
"1731","F534",0.214285714285714,"other","mother","daughter"
"1731","256A",0.0384615384615385,"mother-daughter","mother","daughter"
"1731","2BFD",0.03125,"other","mother","daughter"
"3F49","EC1A",0.342105263157895,"mother-daughter","mother","daughter"
"3F49","663E",0.382352941176471,"other","mother","daughter"
"3F49","6B55",0.166666666666667,"other","mother","daughter"
"3F49","9A91",0.129032258064516,"other","mother","daughter"
"3F49","125F",0.0769230769230769,"other","mother","daughter"
"3F49","F534",0.0714285714285714,"other","mother","daughter"
"3F49","256A",0.176470588235294,"other","mother","daughter"
"3F49","2BFD",0.0952380952380952,"other","mother","daughter"
"4ECA","EC1A",0.390243902439024,"other","mother","daughter"
"4ECA","663E",0.394736842105263,"other","mother","daughter"
"4ECA","6B55",0.38,"other","mother","daughter"
"4ECA","9A91",0.171428571428571,"mother-daughter","mother","daughter"
"4ECA","125F",0.0967741935483871,"other","mother","daughter"
"4ECA","F534",0.125,"other","mother","daughter"
"4ECA","256A",0.277777777777778,"other","mother","daughter"
"4ECA","2BFD",0.333333333333333,"other","mother","daughter"
"B75C","EC1A",0.333333333333333,"other","mother","daughter"
"B75C","663E",0.333333333333333,"mother-daughter","mother","daughter"
"B75C","6B55",0.166666666666667,"other","mother","daughter"
"B75C","9A91",0.12,"other","mother","daughter"
"B75C","125F",0.105263157894737,"other","mother","daughter"
"B75C","F534",0.15,"other","mother","daughter"
"B75C","256A",0.178571428571429,"other","mother","daughter"
"B75C","2BFD",0.114285714285714,"other","mother","daughter"
"BF04","EC1A",0.307692307692308,"other","mother","daughter"
"BF04","663E",0.305555555555556,"other","mother","daughter"
"BF04","6B55",0.145454545454545,"other","mother","daughter"
"BF04","9A91",0.09375,"other","mother","daughter"
"BF04","125F",0.12,"other","mother","daughter"
"BF04","F534",0.0714285714285714,"mother-daughter","mother","daughter"
"BF04","256A",0.142857142857143,"other","mother","daughter"
"BF04","2BFD",0.121951219512195,"other","mother","daughter"
"41C1","EC1A",0.277777777777778,"other","mother","daughter"
"41C1","663E",0.135135135135135,"other","mother","daughter"
"41C1","6B55",0.234042553191489,"other","mother","daughter"
"41C1","9A91",0.111111111111111,"other","mother","daughter"
"41C1","125F",0.0454545454545455,"other","mother","daughter"
"41C1","F534",0.0869565217391304,"other","mother","daughter"
"41C1","256A",0.166666666666667,"other","mother","daughter"
"41C1","2BFD",0.171428571428571,"mother-daughter","mother","daughter"
"879F","EC1A",0.173913043478261,"other","mother","daughter"
"879F","663E",0.162790697674419,"other","mother","daughter"
"879F","6B55",0.346938775510204,"mother-daughter","mother","daughter"
"879F","9A91",0.0555555555555556,"other","mother","daughter"
"879F","125F",0.0689655172413793,"other","mother","daughter"
"879F","F534",0.0645161290322581,"other","mother","daughter"
"879F","256A",0.162162162162162,"other","mother","daughter"
"879F","2BFD",0.289473684210526,"other","mother","daughter"
"EC1A","E063",0.0606060606060606,"other","daughter","mother"
"663E","E063",0.0689655172413793,"other","daughter","mother"
"6B55","E063",0.119047619047619,"other","daughter","mother"
"9A91","E063",0.0555555555555556,"other","daughter","mother"
"E063","256A",0.0909090909090909,"other","mother","daughter"
"E063","2BFD",0.0714285714285714,"other","mother","daughter"
