"from","to","weight","pair_type","from_role","to_role"
"1731","0387",0.615384615384615,"other","mother","daughter"
"1731","A312",0.142857142857143,"other","mother","daughter"
"1731","82C7",0.785714285714286,"other","mother","daughter"
"1731","D3E1",0.5625,"other","mother","daughter"
"1731","C809",0.444444444444444,"other","mother","daughter"
"1731","3CC1",0.6875,"other","mother","daughter"
"1731","3C0F",0.294117647058824,"other","mother","daughter"
"1731","AC37",0.130434782608696,"other","mother","daughter"
"1731","9A5D",0.375,"other","mother","daughter"
"1731","418B",0.315789473684211,"other","mother","daughter"
"1731","8787",0.15,"other","mother","daughter"
"1731","D4DC",0.6,"mother-daughter","mother","daughter"
"AC35","0387",0.1,"other","mother","daughter"
"AC35","A312",0.2,"other","mother","daughter"
"AC35","82C7",0.153846153846154,"other","mother","daughter"
"AC35","D3E1",0.25,"mother-daughter","mother","daughter"
"AC35","C809",0.142857142857143,"other","mother","daughter"
"AC35","3CC1",0.133333333333333,"other","mother","daughter"
"AC35","3C0F",0.0909090909090909,"other","mother","daughter"
"BF04","0387",0.25,"other","mother","daughter"
"BF04","A312",0.666666666666667,"other","mother","daughter"
"BF04","82C7",0.166666666666667,"other","mother","daughter"
"BF04","D3E1",0.166666666666667,"other","mother","daughter"
"BF04","C809",0.0714285714285714,"other","mother","daughter"
"BF04","3CC1",0.142857142857143,"other","mother","daughter"
"41C1","0387",0.25,"other","mother","daughter"
"41C1","A312",0.25,"other","mother","daughter"
"41C1","82C7",0.166666666666667,"other","mother","daughter"
"41C1","D3E1",0.0769230769230769,"other","mother","daughter"
"41C1","C809",0.153846153846154,"other","mother","daughter"
"41C1","3CC1",0.142857142857143,"other","mother","daughter"
"41C1","9A5D",0.1,"other","mother","daughter"
"41C1","8787",0.0909090909090909,"other","mother","daughter"
"41C1","D4DC",0.0833333333333333,"other","mother","daughter"
"EC1A","0387",0.272727272727273,"other","mother","daughter"
"EC1A","A312",0.0952380952380952,"other","mother","daughter"
"EC1A","82C7",0.454545454545455,"mother-daughter","mother","daughter"
"EC1A","D3E1",0.523809523809524,"other","mother","daughter"
"EC1A","C809",0.5,"other","mother","daughter"
"EC1A","3CC1",0.478260869565217,"other","mother","daughter"
"EC1A","3C0F",0.208333333333333,"other","mother","daughter"
"EC1A","5A31",0.130434782608696,"other","mother","daughter"
"EC1A","AC37",0.269230769230769,"other","mother","daughter"
"EC1A","9A5D",0.318181818181818,"other","mother","daughter"
"EC1A","418B",0.333333333333333,"other","mother","daughter"
"EC1A","8787",0.2,"other","mother","daughter"
"EC1A","D4DC",0.476190476190476,"other","mother","daughter"
"663E","0387",0.3,"mother-daughter","mother","daughter"
"663E","A312",0.6,"other","mother","daughter"
"663E","82C7",0.214285714285714,"other","mother","daughter"
