"from","to","weight","pair_type","from_role","to_role"
"076C","AA3C",0.3,"other","mother","daughter"
"076C","204F",0.25,"other","mother","daughter"
"076C","9407",0.428571428571429,"mother-daughter","mother","daughter"
"076C","80F1",0.111111111111111,"other","mother","daughter"
"076C","CB2B",0.0833333333333333,"other","mother","daughter"
"076C","898A",0.25,"other","mother","daughter"
"076C","5939",0.285714285714286,"other","mother","daughter"
"F377","AA3C",0.555555555555556,"other","mother","daughter"
"F377","204F",0.375,"mother-daughter","mother","daughter"
"F377","9407",0.375,"other","mother","daughter"
"F377","80F1",0.222222222222222,"other","mother","daughter"
"F377","CB2B",0.272727272727273,"other","mother","daughter"
"F377","898A",0.1,"other","mother","daughter"
"F377","5939",0.428571428571429,"other","mother","daughter"
"AA3C","39ED",0.375,"other","daughter","mother"
"AA3C","BF04",0.25,"other","daughter","mother"
"AA3C","7C6F",0.444444444444444,"other","daughter","mother"
"AA3C","377E",0.222222222222222,"other","daughter","mother"
"AA3C","D629",0.272727272727273,"other","daughter","mother"
"AA3C","AC35",0.25,"mother-daughter","daughter","mother"
"AA3C","41C1",0.333333333333333,"other","daughter","mother"
"AA3C","C5F2",0.2,"other","daughter","mother"
"204F","7C6F",0.111111111111111,"other","daughter","mother"
"204F","377E",0.142857142857143,"other","daughter","mother"
"204F","D629",0.222222222222222,"other","daughter","mother"
"204F","41C1",0.125,"other","daughter","mother"
"9407","39ED",0.6,"other","daughter","mother"
"9407","BF04",0.4,"other","daughter","mother"
"9407","7C6F",0.428571428571429,"other","daughter","mother"
"9407","377E",0.333333333333333,"other","daughter","mother"
"9407","D629",0.222222222222222,"other","daughter","mother"
"9407","AC35",0.166666666666667,"other","daughter","mother"
"9407","41C1",0.125,"other","daughter","mother"
"9407","C5F2",0.285714285714286,"other","daughter","mother"
"39ED","80F1",0.333333333333333,"mother-daughter","mother","daughter"
"39ED","CB2B",0.222222222222222,"other","mother","daughter"
"39ED","898A",0.142857142857143,"other","mother","daughter"
"39ED","5939",0.4,"other","mother","daughter"
"BF04","80F1",0.166666666666667,"other","mother","daughter"
"BF04","CB2B",0.25,"other","mother","daughter"
"BF04","898A",0.166666666666667,"mother-daughter","mother","daughter"
"BF04","5939",0.2,"other","mother","daughter"
"7C6F","80F1",0.428571428571429,"other","mother","daughter"
"7C6F","CB2B",0.3,"mother-daughter","mother","daughter"
"7C6F","898A",0.25,"other","mother","daughter"
"7C6F","5939",0.285714285714286,"other","mother","daughter"
"80F1","377E",0.142857142857143,"other","daughter","mother"
"80F1","D629",0.222222222222222,"other","daughter","mother"
"80F1","41C1",0.125,"other","daughter","mother"
"80F1","C5F2",0.285714285714286,"other","daughter","mother"
"CB2B","377E",0.1,"other","daughter","mother"
"CB2B","D629",0.272727272727273,"other","daughter","mother"
"CB2B","AC35",0.25,"other","daughter","mother"
"CB2B","41C1",0.5,"other","daughter","mother"
"CB2B","C5F2",0.2,"other","daughter","mother"
"377E","898A",0.142857142857143,"other","mother","daughter"
"377E","5939",0.4,"mother-daughter","mother","daughter"
"D629","898A",0.375,"other","mother","daughter"
"D629","5939",0.428571428571429,"other","mother","daughter"
"AC35","898A",0.166666666666667,"other","mother","daughter"
"AC35","5939",0.2,"other","mother","daughter"
"41C1","898A",0.125,"other","mother","daughter"
"41C1","5939",0.333333333333333,"other","mother","daughter"
"C5F2","898A",0.285714285714286,"other","mother","daughter"
"C5F2","5939",0.6,"other","mother","daughter"
