"from","to","weight","pair_type","from_role","to_role"
"377E","5909",0.434782608695652,"other","mother","daughter"
"377E","B8A2",0.666666666666667,"mother-daughter","mother","daughter"
"377E","1958",0.44,"other","mother","daughter"
"377E","A24D",0.444444444444444,"other","mother","daughter"
"377E","2D31",0.67741935483871,"other","mother","daughter"
"377E","B1E3",0.75,"other","mother","daughter"
"41C1","5909",0.363636363636364,"other","mother","daughter"
"41C1","B8A2",0.566666666666667,"other","mother","daughter"
"41C1","1958",0.32,"other","mother","daughter"
"41C1","A24D",0.441860465116279,"mother-daughter","mother","daughter"
"41C1","2D31",0.484848484848485,"other","mother","daughter"
"41C1","B1E3",0.56,"other","mother","daughter"
"D14D","5909",0.421052631578947,"mother-daughter","mother","daughter"
"D14D","B8A2",0.466666666666667,"other","mother","daughter"
"D14D","1958",0.363636363636364,"other","mother","daughter"
"D14D","A24D",0.311111111111111,"other","mother","daughter"
"D14D","2D31",0.4375,"other","mother","daughter"
"D14D","B1E3",0.5,"other","mother","daughter"
"0758","5909",0.5,"other","mother","daughter"
"0758","B8A2",0.612903225806452,"other","mother","daughter"
"0758","1958",0.5,"mother-daughter","mother","daughter"
"0758","A24D",0.444444444444444,"other","mother","daughter"
"0758","2D31",0.733333333333333,"other","mother","daughter"
"0758","B1E3",0.68,"other","mother","daughter"
"F44A","5909",0.357142857142857,"other","mother","daughter"
"F44A","B8A2",0.666666666666667,"other","mother","daughter"
"F44A","1958",0.464285714285714,"other","mother","daughter"
"F44A","A24D",0.48936170212766,"other","mother","daughter"
"F44A","2D31",0.838709677419355,"mother-daughter","mother","daughter"
"F44A","B1E3",0.46875,"other","mother","daughter"
"F377","5909",0.32,"other","mother","daughter"
"F377","B8A2",0.5625,"other","mother","daughter"
"F377","1958",0.333333333333333,"other","mother","daughter"
"F377","A24D",0.444444444444444,"other","mother","daughter"
"F377","2D31",0.575757575757576,"other","mother","daughter"
"F377","B1E3",0.5,"mother-daughter","mother","daughter"
