"from","to","weight","pair_type","from_role","to_role"
"39ED","0CE1",0.0689655172413793,"other","mother","daughter"
"39ED","04DB",0.0434782608695652,"other","mother","daughter"
"39ED","04D3",0.0714285714285714,"other","mother","daughter"
"39ED","09B4",0.0416666666666667,"other","mother","daughter"
"39ED","10B4",0.0434782608695652,"other","mother","daughter"
"39ED","0739",0.166666666666667,"other","mother","daughter"
"39ED","F1D5",0.0909090909090909,"other","mother","daughter"
"39ED","0122",0.04,"other","mother","daughter"
"39ED","0482",0.428571428571429,"mother-daughter","mother","daughter"
"39ED","10B6",0.111111111111111,"other","mother","daughter"
"39ED","104E",0.125,"other","mother","daughter"
"39ED","0BA0",0.133333333333333,"other","mother","daughter"
"39ED","0DE4",0.125,"other","mother","daughter"
"39ED","062C",0.166666666666667,"other","mother","daughter"
"39ED","088C",0.0526315789473684,"other","mother","daughter"
"F44A","0CE1",0.305555555555556,"other","mother","daughter"
"F44A","04DB",0.428571428571429,"other","mother","daughter"
"F44A","04D3",0.533333333333333,"other","mother","daughter"
"F44A","0B04",0.333333333333333,"other","mother","daughter"
"F44A","09B4",0.366666666666667,"mother-daughter","mother","daughter"
"F44A","10B4",0.6,"other","mother","daughter"
"F44A","0122",0.05,"other","mother","daughter"
"44BD","0739",0.25,"other","mother","daughter"
"44BD","F1D5",0.111111111111111,"other","mother","daughter"
"44BD","0122",0.0909090909090909,"other","mother","daughter"
"44BD","0482",0.142857142857143,"other","mother","daughter"
"44BD","10B6",0.333333333333333,"other","mother","daughter"
"44BD","104E",0.230769230769231,"other","mother","daughter"
"44BD","0BA0",0.153846153846154,"other","mother","daughter"
"44BD","0DE4",0.4,"other","mother","daughter"
"44BD","062C",0.666666666666667,"mother-daughter","mother","daughter"
"44BD","088C",0.0588235294117647,"other","mother","daughter"
"C5F2","0CE1",0.0303030303030303,"other","mother","daughter"
"C5F2","0739",0.25,"other","mother","daughter"
"C5F2","F1D5",0.0714285714285714,"other","mother","daughter"
"C5F2","0122",0.208333333333333,"other","mother","daughter"
"C5F2","0482",0.0833333333333333,"other","mother","daughter"
"C5F2","10B6",0.181818181818182,"other","mother","daughter"
"C5F2","104E",0.5,"mother-daughter","mother","daughter"
"C5F2","0BA0",0.25,"other","mother","daughter"
"C5F2","0DE4",0.333333333333333,"other","mother","daughter"
"C5F2","062C",0.25,"other","mother","daughter"
"C5F2","088C",0.15,"other","mother","daughter"
