"","term","observed","perm_mean","perm_sd","p_value"
"1","pair_type_2mother-daughter",0.430600862696981,0.00303305690678518,0.0811323040339801,0
"2","pair_type_2mother-unrelated-daughter",0.0550094966892891,0.000100787757940176,0.025649811392975,0.02
"3","colony_size_c",-0.0225689057277914,-0.0226060249424116,3.89844854694822e-05,0.166
