"from","to","weight","pair_type","year","pairID"
"0D1B","1731",0.56910569105691,"other",2013,"0D1B-1731"
"0D1B","9E17",0.558333333333333,"other",2013,"0D1B-9E17"
"0D1B","D726",0.206611570247934,"other",2013,"0D1B-D726"
"0D1B","2C18",0.545454545454545,"other",2013,"0D1B-2C18"
"0D1B","07F9",0.544,"other",2013,"07F9-0D1B"
"0D1B","3D98",0.577235772357724,"other",2013,"0D1B-3D98"
"0D1B","B587",0.629032258064516,"other",2013,"0D1B-B587"
"0D1B","4ECA",0.5,"other",2013,"0D1B-4ECA"
"0D1B","39ED",0.559055118110236,"other",2013,"0D1B-39ED"
"0D1B","B75C",0.516393442622951,"other",2013,"0D1B-B75C"
"0D1B","52AD",0.550387596899225,"other",2013,"0D1B-52AD"
"0D1B","6D0D",0.554621848739496,"other",2013,"0D1B-6D0D"
"0D1B","2F15",0.653543307086614,"other",2013,"0D1B-2F15"
"0D1B","377E",0.525,"other",2013,"0D1B-377E"
"0D1B","3CA1",0.570247933884298,"other",2013,"0D1B-3CA1"
"0D1B","3F49",0.582089552238806,"other",2013,"0D1B-3F49"
"0D1B","24E9",0.484375,"other",2013,"0D1B-24E9"
"0D1B","A8D2",0.495867768595041,"other",2013,"0D1B-A8D2"
"0D1B","AC35",0.572649572649573,"other",2013,"0D1B-AC35"
"0D1B","AA57",0.413223140495868,"other",2013,"0D1B-AA57"
"0D1B","5108",0.365079365079365,"other",2013,"0D1B-5108"
"0D1B","BF04",0.169491525423729,"other",2013,"0D1B-BF04"
"0D1B","5672",0.163934426229508,"other",2013,"0D1B-5672"
"0D1B","4FE4",0.196581196581197,"mother-daughter",2013,"0D1B-4FE4"
"0D1B","4C7B",0.175,"other",2013,"0D1B-4C7B"
"0D1B","41C1",0.104,"other",2013,"0D1B-41C1"
"1731","9E17",0.535714285714286,"other",2013,"1731-9E17"
"1731","D726",0.323232323232323,"other",2013,"1731-D726"
"1731","2C18",0.52212389380531,"other",2013,"1731-2C18"
"1731","07F9",0.695238095238095,"other",2013,"07F9-1731"
"1731","3D98",0.420634920634921,"other",2013,"1731-3D98"
"1731","B587",0.558333333333333,"other",2013,"1731-B587"
"1731","4ECA",0.446428571428571,"other",2013,"1731-4ECA"
"1731","39ED",0.512396694214876,"other",2013,"1731-39ED"
"1731","B75C",0.491228070175439,"other",2013,"1731-B75C"
"1731","52AD",0.528925619834711,"other",2013,"1731-52AD"
"1731","6D0D",0.545454545454545,"other",2013,"1731-6D0D"
"1731","2F15",0.547619047619048,"other",2013,"1731-2F15"
"1731","377E",0.541284403669725,"other",2013,"1731-377E"
"1731","3CA1",0.5625,"other",2013,"1731-3CA1"
"1731","3F49",0.563492063492063,"other",2013,"1731-3F49"
"1731","24E9",0.495726495726496,"other",2013,"1731-24E9"
"1731","A8D2",0.596153846153846,"other",2013,"1731-A8D2"
"1731","AC35",0.482456140350877,"other",2013,"1731-AC35"
"1731","AA57",0.368421052631579,"other",2013,"1731-AA57"
"1731","5108",0.389380530973451,"other",2013,"1731-5108"
"1731","BF04",0.182692307692308,"other",2013,"1731-BF04"
"1731","5672",0.165137614678899,"other",2013,"1731-5672"
"1731","4FE4",0.168224299065421,"other",2013,"1731-4FE4"
"1731","4C7B",0.145454545454545,"other",2013,"1731-4C7B"
"1731","41C1",0.128440366972477,"other",2013,"1731-41C1"
"9E17","D726",0.302083333333333,"other",2013,"9E17-D726"
"9E17","2C18",0.495495495495495,"other",2013,"2C18-9E17"
"9E17","07F9",0.563636363636364,"other",2013,"07F9-9E17"
"9E17","3D98",0.572727272727273,"other",2013,"3D98-9E17"
"9E17","B587",0.573913043478261,"other",2013,"9E17-B587"
"9E17","4ECA",0.431192660550459,"other",2013,"4ECA-9E17"
"9E17","39ED",0.638888888888889,"other",2013,"39ED-9E17"
"9E17","B75C",0.401709401709402,"other",2013,"9E17-B75C"
"9E17","52AD",0.516949152542373,"other",2013,"52AD-9E17"
"9E17","6D0D",0.464285714285714,"other",2013,"6D0D-9E17"
"9E17","2F15",0.536585365853659,"other",2013,"2F15-9E17"
"9E17","377E",0.486238532110092,"other",2013,"377E-9E17"
"9E17","3CA1",0.536363636363636,"other",2013,"3CA1-9E17"
"9E17","3F49",0.578512396694215,"other",2013,"3F49-9E17"
"9E17","24E9",0.508928571428571,"other",2013,"24E9-9E17"
"9E17","A8D2",0.509433962264151,"other",2013,"9E17-A8D2"
"9E17","AC35",0.567307692307692,"other",2013,"9E17-AC35"
"9E17","AA57",0.388888888888889,"other",2013,"9E17-AA57"
"9E17","5108",0.398148148148148,"other",2013,"5108-9E17"
"9E17","BF04",0.114285714285714,"other",2013,"9E17-BF04"
"9E17","5672",0.0803571428571429,"other",2013,"5672-9E17"
"9E17","4FE4",0.101851851851852,"other",2013,"4FE4-9E17"
"9E17","4C7B",0.111111111111111,"other",2013,"4C7B-9E17"
"9E17","41C1",0.0934579439252336,"other",2013,"41C1-9E17"
"D726","2C18",0.25,"other",2013,"2C18-D726"
"D726","07F9",0.31,"other",2013,"07F9-D726"
"D726","3D98",0.233644859813084,"other",2013,"3D98-D726"
"D726","B587",0.272727272727273,"other",2013,"B587-D726"
"D726","4ECA",0.263736263736264,"other",2013,"4ECA-D726"
"D726","39ED",0.247706422018349,"other",2013,"39ED-D726"
"D726","B75C",0.28125,"other",2013,"B75C-D726"
"D726","52AD",0.254545454545455,"other",2013,"52AD-D726"
"D726","6D0D",0.242424242424242,"other",2013,"6D0D-D726"
"D726","2F15",0.243697478991597,"other",2013,"2F15-D726"
"D726","377E",0.260416666666667,"other",2013,"377E-D726"
"D726","3CA1",0.219047619047619,"other",2013,"3CA1-D726"
"D726","3F49",0.271186440677966,"other",2013,"3F49-D726"
"D726","24E9",0.292929292929293,"other",2013,"24E9-D726"
"D726","A8D2",0.265957446808511,"other",2013,"A8D2-D726"
"D726","AC35",0.257731958762887,"other",2013,"AC35-D726"
"D726","AA57",0.297619047619048,"other",2013,"AA57-D726"
"D726","5108",0.447368421052632,"other",2013,"5108-D726"
"2C18","07F9",0.52212389380531,"other",2013,"07F9-2C18"
"2C18","3D98",0.558558558558559,"other",2013,"2C18-3D98"
"2C18","B587",0.533898305084746,"other",2013,"2C18-B587"
"2C18","4ECA",0.485714285714286,"other",2013,"2C18-4ECA"
"2C18","39ED",0.462809917355372,"other",2013,"2C18-39ED"
"2C18","B75C",0.532710280373832,"other",2013,"2C18-B75C"
"2C18","52AD",0.52991452991453,"other",2013,"2C18-52AD"
"2C18","6D0D",0.532710280373832,"other",2013,"2C18-6D0D"
"2C18","2F15",0.512,"other",2013,"2C18-2F15"
"2C18","377E",0.514018691588785,"other",2013,"2C18-377E"
"2C18","3CA1",0.522522522522523,"other",2013,"2C18-3CA1"
"2C18","3F49",0.565573770491803,"other",2013,"2C18-3F49"
"2C18","24E9",0.456896551724138,"other",2013,"24E9-2C18"
"2C18","A8D2",0.415929203539823,"other",2013,"2C18-A8D2"
"2C18","AC35",0.468468468468468,"other",2013,"2C18-AC35"
"2C18","AA57",0.428571428571429,"other",2013,"2C18-AA57"
"2C18","5108",0.348214285714286,"other",2013,"2C18-5108"
"2C18","BF04",0.158415841584158,"other",2013,"2C18-BF04"
"2C18","5672",0.163461538461538,"other",2013,"2C18-5672"
"2C18","4FE4",0.19,"other",2013,"2C18-4FE4"
"2C18","4C7B",0.176470588235294,"other",2013,"2C18-4C7B"
"2C18","41C1",0.10377358490566,"other",2013,"2C18-41C1"
"07F9","3D98",0.455284552845528,"other",2013,"07F9-3D98"
"07F9","B587",0.571428571428571,"other",2013,"07F9-B587"
"07F9","4ECA",0.486238532110092,"other",2013,"07F9-4ECA"
"07F9","39ED",0.564102564102564,"other",2013,"07F9-39ED"
