"from","to","weight","pair_type"
"41C1","4ECA",0.421875,"other"
"41C1","4C7B",0.5,"other"
"41C1","22B0",0.132075471698113,"other"
"41C1","E063",0.0384615384615385,"other"
"41C1","076C",0.369230769230769,"other"
"41C1","EC1A",0.418918918918919,"other"
"41C1","7C6F",0.272727272727273,"other"
"41C1","D629",0.208333333333333,"other"
"41C1","C5F2",0.373333333333333,"other"
"41C1","C950",0.327272727272727,"other"
"41C1","A539",0.180555555555556,"other"
"41C1","DCCF",0.381578947368421,"other"
"41C1","ACF4",0.301369863013699,"other"
"41C1","15BF",0.338028169014085,"other"
"41C1","AA3C",0.06,"other"
"41C1","204F",0.0204081632653061,"other"
"41C1","9407",0.0204081632653061,"other"
"41C1","80F1",0.0204081632653061,"other"
"41C1","CB2B",0.0816326530612245,"other"
"41C1","898A",0.0204081632653061,"other"
"41C1","5939",0.0425531914893617,"other"
"29B2","663E",0.433333333333333,"other"
"29B2","D14D",0.533333333333333,"other"
"29B2","758",0.436619718309859,"other"
"29B2","9FB7",0.230769230769231,"other"
"29B2","1731",0.0508474576271186,"other"
"29B2","377E",0.39344262295082,"other"
"29B2","B75C",0.436363636363636,"other"
"29B2","879F",0.428571428571429,"other"
"29B2","2C18",0.444444444444444,"other"
"29B2","F44A",0.267605633802817,"other"
"29B2","2F8D",0.428571428571429,"other"
"29B2","44BD",0.444444444444444,"other"
"29B2","F377",0.442857142857143,"other"
"29B2","4FE4",0.454545454545455,"other"
"29B2","0D1B",0.385714285714286,"other"
"29B2","24E9",0.435483870967742,"other"
"29B2","4ECA",0.426229508196721,"other"
"29B2","4C7B",0.439393939393939,"other"
"29B2","22B0",0.12,"other"
"29B2","E063",0.111111111111111,"other"
"29B2","076C",0.46551724137931,"other"
"29B2","EC1A",0.311688311688312,"other"
"29B2","7C6F",0.379310344827586,"other"
"29B2","D629",0.317460317460317,"other"
"29B2","C5F2",0.455882352941176,"other"
"29B2","C950",0.352941176470588,"other"
"29B2","A539",0.140845070422535,"other"
"29B2","DCCF",0.346666666666667,"other"
"29B2","ACF4",0.181818181818182,"other"
"29B2","15BF",0.3,"other"
"29B2","AA3C",0.0425531914893617,"other"
"29B2","204F",0.0222222222222222,"other"
"29B2","9407",0.0454545454545455,"other"
"29B2","80F1",0.0222222222222222,"other"
"29B2","CB2B",0.0208333333333333,"other"
"29B2","898A",0.0454545454545455,"other"
"29B2","5939",0.0465116279069767,"other"
"663E","D14D",0.548387096774194,"other"
"663E","758",0.514285714285714,"other"
