"from","to","weight","highlight","pair_type"
"29B2","AC35",0.458333333333333,"other","other"
"29B2","BF04",0.380952380952381,"other","other"
"29B2","41C1",0.652173913043478,"other","other"
"29B2","E063",0.409090909090909,"other","other"
"29B2","076C",0.357142857142857,"other","other"
"29B2","879F",0.521739130434783,"other","other"
"29B2","EC1A",0.407407407407407,"other","other"
"29B2","663E",0.363636363636364,"other","other"
"29B2","7C6F",0.538461538461538,"other","other"
"29B2","0758",0.407407407407407,"mother-daughter","mother-daughter"
"29B2","4FE4",0.344827586206897,"other","other"
"E063","1731",0.35,"other","other"
"E063","377E",0.411764705882353,"other","other"
"E063","24E9",0.470588235294118,"other","other"
"E063","4ECA",0.454545454545455,"other","other"
"E063","39ED",0.347826086956522,"other","other"
"E063","AC35",0.363636363636364,"other","other"
"E063","BF04",0.411764705882353,"other","other"
"E063","4C7B",0.434782608695652,"other","other"
"E063","29B2",0.409090909090909,"other","other"
"E063","076C",0.375,"other","other"
"E063","EC1A",0.434782608695652,"other","other"
"E063","663E",0.470588235294118,"other","other"
"E063","7C6F",0.4,"other","other"
"E063","0758",0.375,"other","other"
"E063","0D1B",0.35,"other","other"
"E063","22B0",0.363636363636364,"other","other"
"076C","2C18",0.478260869565217,"other","other"
"076C","24E9",0.391304347826087,"other","other"
"076C","4ECA",0.392857142857143,"other","other"
"076C","39ED",0.407407407407407,"other","other"
"076C","BF04",0.476190476190476,"other","other"
"076C","4C7B",0.538461538461538,"other","other"
"076C","29B2",0.357142857142857,"other","other"
"076C","E063",0.375,"other","other"
"076C","EC1A",0.481481481481481,"other","other"
"076C","7C6F",0.354838709677419,"other","other"
"076C","0758",0.428571428571429,"other","other"
"076C","4FE4",0.708333333333333,"other","other"
"076C","22B0",0.541666666666667,"other","other"
"879F","24E9",0.380952380952381,"other","other"
"879F","4C7B",0.37037037037037,"other","other"
"879F","41C1",0.48,"other","other"
"879F","29B2",0.521739130434783,"other","other"
"879F","663E",0.380952380952381,"other","other"
"879F","7C6F",0.444444444444444,"other","other"
"879F","4FE4",0.357142857142857,"other","other"
"879F","22B0",0.416666666666667,"other","other"
"EC1A","2C18",0.478260869565217,"other","other"
"EC1A","377E",0.409090909090909,"other","other"
"EC1A","24E9",0.391304347826087,"other","other"
"EC1A","4ECA",0.56,"other","other"
"EC1A","39ED",0.583333333333333,"other","other"
"EC1A","AC35",0.48,"other","other"
"EC1A","BF04",0.347826086956522,"other","other"
"EC1A","4C7B",0.428571428571429,"other","other"
"EC1A","41C1",0.428571428571429,"other","other"
