"from","to","weight","pair_type"
"24E9","4ECA",0.268817204301075,"other"
"24E9","39ED",0.421052631578947,"other"
"24E9","AC35",0.386666666666667,"other"
"24E9","BF04",0.30379746835443,"other"
"24E9","4FE4",0.333333333333333,"other"
"24E9","29B2",0.310344827586207,"other"
"24E9","076C",0.341176470588235,"other"
"24E9","EC1A",0.288461538461538,"other"
"24E9","D14D",0.467532467532468,"other"
"24E9","7C6F",0.233333333333333,"other"
"24E9","F44A",0.342105263157895,"other"
"24E9","A539",0.215909090909091,"other"
"24E9","44BD",0.538461538461538,"other"
"24E9","DCCF",0.292134831460674,"other"
"24E9","F377",0.321428571428571,"other"
"24E9","D629",0.213483146067416,"other"
"24E9","C5F2",0.388235294117647,"other"
"24E9","AA3C",0.507462686567164,"other"
"24E9","80F1",0.304878048780488,"other"
"24E9","CB2B",0.278481012658228,"other"
"24E9","255",0.204545454545455,"other"
"24E9","A5EF",0.447368421052632,"other"
"24E9","B75C",0.285714285714286,"other"
"24E9","22B0",0.269662921348315,"other"
"24E9","15BF",0.329113924050633,"other"
"24E9","5939",0.244444444444444,"other"
"24E9","41C1",0.298701298701299,"other"
"24E9","879F",0.263736263736264,"other"
"24E9","663E",0.290697674418605,"other"
"24E9","377E",0.231578947368421,"other"
"24E9","4C7B",0.325581395348837,"other"
"24E9","E063",0.246575342465753,"other"
"24E9","B8A2",0.317647058823529,"other"
"24E9","A24D",0.320987654320988,"other"
"24E9","2D31",0.411764705882353,"other"
"24E9","1731",0.204081632653061,"other"
"24E9","387",0.0175438596491228,"other"
"24E9","A312",0.0192307692307692,"other"
"24E9","82C7",0.0163934426229508,"other"
"24E9","D3E1",0.0163934426229508,"other"
"24E9","C809",0.0161290322580645,"other"
"24E9","3CC1",0.0158730158730159,"other"
"24E9","3C0F",0.0172413793103448,"other"
"4ECA","39ED",0.3125,"other"
"4ECA","AC35",0.311827956989247,"other"
"4ECA","BF04",0.287234042553192,"other"
"4ECA","4FE4",0.311827956989247,"other"
"4ECA","29B2",0.375,"other"
"4ECA","076C",0.32,"other"
"4ECA","EC1A",0.420560747663551,"other"
"4ECA","D14D",0.378947368421053,"other"
"4ECA","7C6F",0.357894736842105,"other"
"4ECA","F44A",0.25,"other"
"4ECA","A539",0.262626262626263,"other"
"4ECA","44BD",0.268817204301075,"other"
"4ECA","DCCF",0.49438202247191,"other"
"4ECA","F377",0.402173913043478,"other"
"4ECA","D629",0.384615384615385,"other"
"4ECA","C5F2",0.478260869565217,"other"
"4ECA","AA3C",0.252631578947368,"other"
"4ECA","80F1",0.262626262626263,"other"
"4ECA","CB2B",0.322222222222222,"other"
"4ECA","255",0.333333333333333,"other"
"4ECA","A5EF",0.230769230769231,"other"
"4ECA","B75C",0.125,"other"
"4ECA","22B0",0.350515463917526,"other"
